Time,X,Y,Z
0.6395332,-0.0418346095516198,0.00732771823356398,-0.0222496171819124
1.3339172,-0.0422343032734506,0.0081271056772255,-0.0214502297382509
1.5381715,-0.0419678407922301,0.00706125575234347,-0.0229157733849637
1.6832651,-0.0429004594765018,0.00719448699295372,-0.0215834609788612
1.8269971,-0.0421010720328403,0.00732771823356398,-0.0217166922194714
1.969581,-0.0419678407922301,0.00612863706807169,-0.0218499234600817
2.1099876,-0.0425007657546711,0.00799387443661525,-0.0219831547006919
2.3499841,-0.0423675345140608,0.0063950995492922,-0.0215834609788612
2.491382,-0.0421010720328403,0.0101255742863793,-0.0211837672570304
2.6342536,0.0754088821854038,0.039836140942466,-0.016254211354451
2.7762435,0.0367718224084301,0.0218499234600817,0.0218499234600817
2.9172382,-0.0150551301889587,-0.0504946401912863,-0.0115911179330921
3.0594618,-0.0459647780105377,-0.00652833078990245,-0.0274456355657124
3.186638,-0.0293108729342559,0.00572894334624093,-0.0153215926701792
3.3282439,-0.0102588055269896,0.0101255742863793,-0.0130566615798049
3.4709487,-0.0293108729342559,-0.0222496171819124,-0.014655436467128
3.5976499,-0.0338407351150046,0.0133231240610254,-0.0181194487229946
3.8363981,-0.0452986218074864,0.00999234304576906,-0.0310428790621892
3.9627144,-0.0576891271842401,-0.0350398162804968,-0.0531592650034914
4.0903643,-0.0458315467699274,-0.007860643196005,-0.0338407351150046
4.2501285,-0.0417013783110095,0.0113246554518716,-0.0234486983474047
4.3909805,-0.0415681470703993,0.0277120980469329,-0.0205176110539791
4.5344795,-0.0430336907171121,-0.000266462481220508,-0.0222496171819124
4.6777698,-0.0114578866924819,0.00279785605281534,-0.0209173047758099
4.8194316,0.150284839408367,0.0347733537992763,0.00506278714318966
4.9627273,-0.039303215980025,0.00852679939905627,-0.00399693721830762
5.1262205,-0.0365053599272096,0.452320061871813,-0.0399693721830762
5.2801062,-0.192385911441207,-0.506012251837745,-0.0317090352652405
5.4210765,-0.06288514556804,-0.0402358346642968,-0.0662159265832963
5.7549814,-0.0562235835375273,0.00546248086502042,-0.023581929588015
6.2582862,-0.0433001531983326,0.00652833078990245,-0.0210505360164202
6.3851751,-0.0427672282358916,0.00972588056454855,-0.0221163859413022
6.5272143,-0.041434915829789,0.016787136316892,-0.0179862174823843
6.6265719,-0.0419678407922301,0.00746094947417423,-0.0223828484225227
6.7250424,-0.0417013783110095,0.00759418071478449,-0.0209173047758099
6.8255758,-0.0425007657546711,0.00826033691783576,-0.0214502297382509
6.9261192,-0.0419678407922301,0.00652833078990245,-0.0217166922194714
7.0251957,-0.0421010720328403,0.00772741195539474,-0.0214502297382509
7.1256976,-0.0430336907171121,0.0081271056772255,-0.0218499234600817
7.2271938,-0.0417013783110095,0.00706125575234347,-0.0223828484225227
7.3256032,-0.0423675345140608,0.00799387443661525,-0.0222496171819124
7.4264579,-0.0430336907171121,0.00706125575234347,-0.0215834609788612
7.5245488,-0.0426339969952813,0.00772741195539474,-0.0219831547006919
7.6260884,-0.0418346095516198,0.0081271056772255,-0.0221163859413022
7.7254826,-0.0421010720328403,0.00706125575234347,-0.0221163859413022
7.8257698,-0.0419678407922301,0.00759418071478449,-0.0219831547006919
7.9265409,-0.0423675345140608,0.00772741195539474,-0.0217166922194714
8.0243557,-0.0422343032734506,0.00692802451173322,-0.0217166922194714
8.1249176,-0.0422343032734506,0.00759418071478449,-0.0219831547006919
8.2252826,-0.0425007657546711,0.007860643196005,-0.0223828484225227
8.3250818,-0.0421010720328403,0.0063950995492922,-0.0222496171819124
8.42532,-0.0421010720328403,0.00732771823356398,-0.0218499234600817
8.5259151,-0.0434333844389429,0.00746094947417423,-0.0209173047758099
